id,tier,common_valid,truth_common_valid,environment_valid,truth_environment_valid,Geo.mean_rmsd_angstrom,Geo.mean_rmsd_angstrom_minus_Linear,Geo.mean_rmsd_angstrom_minus_NeuralMD,Dyn.rmsf_mae_angstrom,Dyn.rmsf_mae_angstrom_minus_Linear,Dyn.rmsf_mae_angstrom_minus_NeuralMD,Dyn.contacts.observed_pocket.brier,Dyn.contacts.observed_pocket.brier_minus_Linear,Dyn.contacts.observed_pocket.brier_minus_NeuralMD,contains_assessed_geometry_failure
2WSX,T1,1.0,1.0,1.0,1.0,1.4222585566159598,-0.7516122438703565,0.28975934271916337,0.2618795210633817,0.03488902423938056,-0.4052180802447059,0.07692307692307693,-0.06153846153846154,0.015384615384615385,False
2XGS,T3,0.9875,1.0,0.9875,1.0,1.1527141720617267,-3.338619335108987,0.1911475408232305,0.16211914093151697,-1.1080273387519386,-0.33741730771711725,0.1488095238095238,-0.1357142857142857,0.005357142857142866,True
2YAZ,T3,1.0,0.9875,1.0,0.9875,1.1286688818190325,-7.875052501045654,-0.048565105805362,0.05115348117620681,-3.869421154349105,-0.3974280041395888,0.08238636363636363,-0.3840909090909091,-0.013068181818181826,False
2YMT,T3,0.8125,1.0,0.8125,1.0,2.02354794862559,-11.22720329000321,0.5039349953478263,0.6358227803612577,-3.6053450081964984,-0.02564339072163868,0.16125,-0.20625,0.053750000000000006,True
3A1C,T2,1.0,1.0,1.0,1.0,2.0791159033147544,-6.041346307197456,0.4747385214220454,0.18231393036578694,-1.8538641153712352,-0.5694356073955921,0.17954545454545454,-0.0681818181818182,0.04772727272727273,False
3AY0,T1,1.0,1.0,1.0,1.0,1.4473097194400149,-0.10776634497987425,0.47689236200374885,0.11275181423184334,-0.0765022268824209,-0.5281788598445242,0.12352941176470589,-0.017647058823529405,0.07647058823529412,False
3E3C,T1,1.0,0.9,1.0,1.0,1.4780719218953828,-0.9708668221981462,0.4658911031172963,0.13834984582870527,-0.06866067514140017,-0.4553044186466887,0.232,-0.036000000000000004,0.116,False
3HB4,T2,1.0,1.0,1.0,1.0,1.11840061778249,-0.9468539902569288,0.2983843886887523,0.35856004102081557,0.07529552551443158,-0.1717884168567641,0.15833333333333333,-0.15000000000000002,-0.003333333333333327,False
3IL5,T1,1.0,1.0,1.0,1.0,1.11861377769177,0.12177384389617996,0.4550078932718724,0.2889677237363746,0.15741428008576416,-0.15022946714288316,0.0875,0.033333333333333326,0.02916666666666666,False
3NRZ,T1,1.0,1.0,1.0,1.0,1.1254754894727552,-0.15658756176203936,0.31825203662812784,0.21518884775976477,0.025485683144048338,-0.3570511903364981,0.07,0.015000000000000006,0.010000000000000009,False
3OKC,T2,1.0,0.75,1.0,0.75,1.7196898735978448,-0.22137299057424498,0.435037129353687,0.22646806452764803,-0.09837879073152742,-0.6353226405635503,0.21739130434782608,0.004347826086956524,0.04999999999999999,False
3P2E,T2,1.0,1.0,1.0,1.0,1.3020572611938332,-0.374756473680923,0.35759484714155243,0.2972375595072502,0.11745856146259595,-0.2424187784333353,0.12777777777777777,0.009259259259259245,0.04999999999999999,False
3R24,T2,1.0,1.0,1.0,1.0,1.0802129751762908,-1.1182433806240417,0.3613055297061155,0.34565130824611534,-0.02767928077813203,-0.09615168274060593,0.15689655172413794,-0.06551724137931034,0.03965517241379311,False
3ZZF,T3,1.0,1.0,1.0,1.0,1.3303346164138523,-3.4619429227727085,0.31774371469445906,0.2282920529668633,-1.5499192233549002,-0.4662878910210462,0.20048076923076924,-0.12211538461538463,0.04903846153846156,False
4AQ4,T1,1.0,1.0,1.0,1.0,0.7693032271278091,-0.8291328605774473,0.035538547951456945,0.04512943454976251,-0.10510803813348421,-0.38601349436917975,0.14,0.04000000000000001,0.05000000000000002,False
4B4Q,T3,0.325,1.0,0.3625,1.0,4.344137803252657,-7.3272332736389405,2.2916411912293526,1.7846847476825782,-2.0800616332316526,0.4259469553323656,0.3427631578947368,0.0368421052631579,0.16052631578947366,True
4C1Y,T3,1.0,1.0,1.0,1.0,1.3417492976799879,-7.445276517366327,0.015484648134263201,0.24264400356134644,-3.596177934982337,-0.26141949391983665,0.13854166666666667,-0.4364583333333333,0.014583333333333337,False
4CD1,T1,1.0,1.0,1.0,1.0,1.7008553774003818,-1.2861087496876928,0.19043736906076214,0.3318077807532402,0.12302216399479451,-0.5133001143866329,0.16,-0.12000000000000002,0.03,False
4CS9,T1,1.0,1.0,1.0,1.0,3.02249261608744,-2.5499137385427004,-0.35954892343543854,0.9905438850976848,0.46741637806216907,-0.6466149759232581,0.05555555555555555,-0.2333333333333333,0.0,False
4D4D,T1,0.8,0.9,0.8,1.0,1.1078805003775876,-0.3684268090673686,0.31464052723666014,0.1725737949273093,-0.0035984521160367933,-0.38501767494961014,0.10625,0.075,0.0625,True
4JGV,T3,1.0,0.5875,1.0,0.5875,4.962901559462564,-16.110275282537728,0.3620072239095462,2.3637777135250047,-3.907315299851541,-1.3606663792148486,0.43026315789473685,-0.009210526315789447,0.06644736842105264,False
4LH3,T2,1.0,1.0,1.0,1.0,0.8354006020975483,-1.5754185475704934,-0.09735381563348855,0.14929096427688704,-0.28231359092989994,-0.37779559754618774,0.10588235294117647,-0.13235294117647056,-0.0411764705882353,False
4LIL,T3,0.9875,0.4125,0.9875,0.4125,3.0389574834994226,-12.629535622534025,-0.154109558449401,0.5298016374984155,-6.451315173531121,-0.34892737287384035,0.1421875,-0.13749999999999998,-0.02812500000000001,True
4POP,T1,1.0,1.0,1.0,1.0,0.8579037196180165,-0.5640306983251363,0.06400225694482198,0.14713967876844403,-0.15492308470945654,-0.43667017960829013,0.06315789473684211,-0.08421052631578946,0.015789473684210527,False
4UAU,T2,1.0,1.0,1.0,1.0,0.9748858968317855,-0.9496148889404641,0.30193751466011776,0.032033906298734184,-0.2679612020795137,-0.40343789892085213,0.06166666666666667,-0.09333333333333332,0.021666666666666667,False
4Y4V,T1,1.0,1.0,1.0,1.0,1.4319772480060964,-2.1483240227147333,-0.4981921969977514,0.8770160840441404,0.5879893018583167,-0.30691752641317704,0.30833333333333335,0.0,-0.024999999999999967,False
4YMH,T3,0.9625,1.0,0.9625,1.0,1.0915601871607723,-7.364343299456999,0.12751003357966928,0.20394272048349443,-2.936202269225302,-0.2629975636806942,0.10138888888888889,-0.38935185185185184,0.01759259259259259,True
4Z88,T1,0.8,1.0,0.8,1.0,2.5459567593126544,-1.8520196534425657,0.6703098656652047,0.4166615435132852,-0.06442501702564618,-0.6441708526848526,0.17727272727272728,0.0,0.1181818181818182,True
5B4W,T1,0.4,1.0,0.6,1.0,3.8651613220294117,0.30955375014404174,1.4899912255557402,1.189550470488136,0.6955399452990202,-0.06855629839384703,0.2851851851851852,0.11481481481481484,0.14444444444444446,True
5C3P,T3,1.0,0.9625,1.0,0.9625,1.4689405812156644,-8.797143603856629,0.23197855375019127,0.3990723665713273,-3.7181666242840166,-0.36969021615851216,0.116875,-0.23125,0.07750000000000001,False
5CPR,T1,1.0,1.0,1.0,1.0,1.5433522350760471,0.35878959243617237,0.5142841211613258,0.18424748133160238,-0.45237963789775626,-0.6568111435340548,0.23333333333333334,0.11666666666666667,0.09583333333333333,False
5CSD,T2,0.65,0.95,1.0,0.95,3.190479414652954,-5.182812560236053,0.4030914429422374,0.8335984108657452,-0.8254050921290118,-0.7001944453018608,0.2153846153846154,-0.25,-0.03076923076923077,True
5CW8,T2,1.0,0.95,1.0,0.95,1.5135588680432608,-3.466089911230015,-0.020742575236822436,0.32901874410825493,-0.3519857091358568,-0.4496459295686601,0.242,-0.04799999999999999,0.01999999999999999,False
5D3X,T2,0.85,1.0,0.85,1.0,1.860064313858556,-2.443156146289524,0.6314087393591066,0.16363598660047307,-0.9961597372277664,-0.5816159350714931,0.15,-0.17142857142857146,-0.007142857142857145,True
5DV4,T2,0.9,1.0,0.9,1.0,2.069346812639466,0.46191118917429175,0.6610837327390493,0.2537003411306061,-0.19777763015321653,-0.5330673685691332,0.088,0.03799999999999999,0.029999999999999992,True
5HFJ,T3,0.95,1.0,0.9875,1.0,1.5958131385699847,-12.169250589332899,0.417718867128829,0.2467983067842882,-6.197561896250755,-0.5485417021507255,0.21653225806451612,-0.2435483870967742,0.1004032258064516,True
5J4N,T1,1.0,1.0,1.0,1.0,1.4518326502475847,-0.8612212588339094,0.13856319234891523,0.7980040543327237,-0.023609528639402133,-0.5325242564579443,0.12,-0.10800000000000001,0.00399999999999999,False
5KDE,T1,0.5,1.0,0.7,1.0,2.35788244283176,-0.570017233562456,1.2112559693994434,0.22121684904185102,-0.24999819275563584,-0.7376960102264783,0.3,0.052941176470588214,0.13529411764705881,True
5L13,T2,1.0,1.0,1.0,1.0,1.2713287432082008,-2.6024506553834406,0.1782894840626077,0.08253088846431511,-0.959414031388283,-0.5108278744627097,0.14166666666666666,-0.19166666666666665,0.07083333333333333,False
5MKA,T2,0.3,1.0,0.9,1.0,3.5893489346654213,-0.8682874595968948,2.1074974514565685,1.0772019314537742,0.3618228235985297,-0.031410611509579134,0.166,0.016000000000000014,0.06200000000000001,True
5NW7,T1,0.9,1.0,0.9,1.0,1.221528997937158,0.16102343662679752,0.5330297562525323,0.08877583550059034,-0.09400803272674665,-0.3766687820749407,0.065,-0.07500000000000001,-0.020000000000000004,True
5NWH,T2,0.95,1.0,1.0,1.0,1.0684353086541578,-2.096201884276431,0.3643246667123614,0.22334245219766352,-0.8488263728076877,-0.2186621323100696,0.1326923076923077,-0.15961538461538463,0.036538461538461534,True
5O7E,T3,1.0,0.9875,1.0,0.9875,1.860864082967704,-11.10794662842199,0.15936881680150372,0.480529831250852,-5.3608877174992875,-0.44370082456519444,0.26160714285714287,-0.2642857142857143,0.12589285714285717,False
5OHY,T3,1.0,1.0,1.0,1.0,1.3894764342886656,-9.043798837385644,-0.173875167416508,0.18707567320265775,-4.504494313128155,-0.3437290746383431,0.140625,-0.3275,0.008750000000000008,False
5SYM,T2,1.0,1.0,1.0,1.0,1.2995873170694643,-1.688235810610712,-0.005513372737420141,0.24428462572320567,-0.23595230608054266,-0.6025765646683697,0.18125,-0.07708333333333336,0.056249999999999994,False
5UBG,T1,0.9,1.0,0.9,1.0,1.6995587245141948,0.6966537303740183,1.0623121222574263,0.5283335444288926,0.34146914335460143,0.002073505757435923,0.2689655172413793,0.12413793103448273,0.13103448275862067,True
5UV1,T3,0.95,1.0,0.95,1.0,1.4181450653015883,-7.439062988411359,0.41858079380624713,0.13771596654605983,-3.837661802385982,-0.5088527384767945,0.14619565217391303,-0.2864130434782609,0.03315217391304347,True
5VQE,T2,1.0,1.0,1.0,1.0,9.1023654186234,0.8420525818665556,1.0080951606280628,4.330853001687412,2.090952183440332,-0.603000325820477,0.475,0.03999999999999998,-0.06500000000000006,False
5XO7,T3,0.9625,0.725,0.9625,0.725,1.908916260944101,-12.878399701753091,-0.513716304857144,0.450039719458856,-6.142570029475133,-0.49821188921049264,0.22447916666666667,-0.27499999999999997,-0.016666666666666663,True
6A87,T3,0.9875,0.9625,0.9875,0.9625,2.004578206716907,-8.030015514502114,-0.09249779845859729,0.29897397318992947,-3.176975727215157,-0.5050715525144273,0.18977272727272726,-0.325,-0.03181818181818183,True
6AR2,T1,0.8,0.8,0.9,0.8,2.390983809779474,-1.062885106238062,0.8669665982750954,0.5735955806134154,0.07379335815537502,-0.5080280179107752,0.25333333333333335,-0.019999999999999962,0.07333333333333336,True
6B4H,T2,0.95,1.0,0.95,1.0,1.8517390529246995,-1.08623565125409,0.6494849163018952,0.44531393581337475,-0.09447521941794546,-0.24146806705223367,0.04285714285714286,-0.014285714285714284,0.03214285714285714,True
6E13,T1,1.0,1.0,1.0,1.0,1.6258618401317915,-1.057888665065805,0.2574181793786672,0.37559252112594105,0.09149850059629439,-0.5378296362519821,0.1782608695652174,-0.09565217391304345,0.052173913043478265,False
6E86,T3,0.575,0.9625,0.725,0.9625,8.158251948198677,-73.72941745637203,0.1839510613530484,1.3941270760266966,-31.570102254882716,-2.4784913587922817,0.3625,0.09204545454545454,0.27954545454545454,True
6G0Z,T2,1.0,0.95,1.0,0.95,1.6929811994249022,-0.6490539520223593,0.4263123339315853,0.14230194920784883,-0.15364917849339144,-0.6532997638064786,0.06578947368421052,-0.06578947368421052,0.04210526315789473,False
6GDY,T2,1.0,1.0,1.0,1.0,1.073868276021481,-3.282345443921111,0.20781845510305796,0.23558588308805417,-0.9137776571871408,-0.47266771202111735,0.05,-0.24210526315789477,0.03947368421052632,False
6H78,T2,1.0,1.0,1.0,1.0,1.1994681416649224,-0.9841789263924365,0.44553202714001616,0.3256617912791433,-0.08392901779631068,-0.1406943261719637,0.12586206896551724,-0.027586206896551724,0.018965517241379307,False
6H9X,T3,0.8375,0.85,0.8375,0.85,2.276215381831412,-6.859328617894649,0.3920155097332565,0.33195434250045325,-3.4729401453112656,-0.35075136916274224,0.1771551724137931,-0.24698275862068966,0.05000000000000002,True
6HK6,T2,1.0,1.0,1.0,1.0,1.2379745262368451,-1.5880034790754913,-0.04957902576633355,0.10324981074325734,-0.23420507109598643,-0.584537261044783,0.225,-0.04374999999999998,-0.031249999999999972,False
6HQ7,T2,1.0,0.95,1.0,0.95,1.4611014858690659,-0.2603917290554223,0.3867716326356665,0.1149680304310403,-0.048819242222876966,-0.5109754154012681,0.098,0.0020000000000000018,0.054000000000000006,False
6IIK,T3,1.0,0.9875,1.0,0.9875,1.7680473394094662,-6.293393067444701,0.20175442211633476,0.34929794082592186,-2.251125314869419,-0.5627552337343926,0.1361111111111111,-0.12152777777777776,0.01319444444444444,False
6IRT,T1,1.0,1.0,1.0,1.0,1.0878539266903902,-0.37744391992933357,0.18050469224340426,0.1557434877634587,-0.11723995829353906,-0.4779867853012233,0.17727272727272728,-0.03636363636363635,0.05454545454545455,False
6KNH,T3,1.0,0.95,1.0,0.95,2.199713465958339,-26.87787885440901,0.11383517956664813,0.5838797076653719,-13.737156276344827,-0.421577735977853,0.07333333333333333,-0.5141666666666667,0.019999999999999997,False
6MI6,T1,1.0,1.0,1.0,1.0,2.1389129959600965,-2.6509009933009495,0.18259694734151144,0.2039670930672458,-0.44640345770382794,-0.7414811160005268,0.172,-0.09600000000000003,0.128,False
6NAF,T2,1.0,1.0,1.0,1.0,1.8977533655795014,-0.2709969716575318,0.17400526070200395,0.7244224220834763,0.13385625578199634,-0.4611244800085408,0.196875,-0.0031250000000000167,0.04374999999999998,False
6QDX,T1,1.0,0.9,1.0,0.9,1.0812902526900607,-1.6266478675576705,-0.09519790535850703,0.1414033573022362,-0.11233315044865894,-0.51044565483175,0.09,-0.09,0.026666666666666658,False
6RQK,T1,1.0,1.0,1.0,1.0,0.9624830333027665,0.07370437764123439,0.5282010506903572,0.16630140420587075,0.03686205588713934,-0.23009747656473895,0.06111111111111111,-0.005555555555555557,0.016666666666666663,False
6SY7,T3,0.8125,0.6375,0.8125,0.6375,9.652903361832838,-16.21402753294798,-0.8364885502151775,3.1121134074292325,-3.2997719503486307,-1.003718092482802,0.41517857142857145,-0.0928571428571428,-0.11428571428571427,True
6TL2,T1,1.0,1.0,1.0,1.0,1.5960848379612407,-2.4765667780917524,0.07335617955092366,0.258063986934262,-0.185866624623927,-0.5767204785359948,0.08076923076923077,-0.12307692307692307,-0.007692307692307693,False
